datetime,open,low,high,close,volume,oi
2021-09-15 9:30,9.95,9.9,10.65,10.3,-1,-1
2021-09-15 9:31,10.3,9.95,10.45,10.125,-1,-1
2021-09-15 9:32,10.125,9.65,10.2,9.725,-1,-1
2021-09-15 9:33,9.725,9.45,9.95,9.875,-1,-1
2021-09-15 9:34,9.875,9.775,10.05,9.825,-1,-1
2021-09-15 9:35,9.825,9.6,9.9,9.775,-1,-1
2021-09-15 9:36,9.775,9.475,9.8,9.525,-1,-1
2021-09-15 9:37,9.525,9.375,9.625,9.45,-1,-1
2021-09-15 9:38,9.45,9.325,9.5,9.425,-1,-1
2021-09-15 9:39,9.425,9.35,9.525,9.45,-1,-1
2021-09-15 9:40,9.45,9.45,9.625,9.475,-1,-1
2021-09-15 9:41,9.475,9.2,9.475,9.275,-1,-1
2021-09-15 9:42,9.275,9.075,9.35,9.075,-1,-1
2021-09-15 9:43,9.075,9.075,9.25,9.15,-1,-1
2021-09-15 9:44,9.15,9.025,9.225,9.05,-1,-1
2021-09-15 9:45,9.05,9.025,9.325,9.275,-1,-1
2021-09-15 9:46,9.275,9.25,9.375,9.325,-1,-1
2021-09-15 9:47,9.325,9.25,9.35,9.325,-1,-1
2021-09-15 9:48,9.325,9.25,9.475,9.25,-1,-1
2021-09-15 9:49,9.25,9.175,9.325,9.225,-1,-1
2021-09-15 9:50,9.225,9.025,9.275,9.05,-1,-1
2021-09-15 9:51,9.05,8.925,9.1,8.975,-1,-1
2021-09-15 9:52,8.975,8.7,8.975,8.7,-1,-1
2021-09-15 9:53,8.7,8.65,8.775,8.675,-1,-1
2021-09-15 9:54,8.675,8.575,8.775,8.575,-1,-1
2021-09-15 9:55,8.575,8.525,8.75,8.525,-1,-1
2021-09-15 9:56,8.525,8.5,8.7,8.55,-1,-1
2021-09-15 9:57,8.55,8.55,8.775,8.75,-1,-1
2021-09-15 9:58,8.75,8.725,8.875,8.875,-1,-1
2021-09-15 9:59,8.875,8.825,8.95,8.9,-1,-1
2021-09-15 10:00,8.9,8.775,9.025,8.8,-1,-1
2021-09-15 10:01,8.8,8.625,8.825,8.625,-1,-1
2021-09-15 10:02,8.625,8.625,8.875,8.875,-1,-1
2021-09-15 10:03,8.875,8.775,8.875,8.775,-1,-1
2021-09-15 10:04,8.775,8.725,8.825,8.725,-1,-1
2021-09-15 10:05,8.725,8.625,8.725,8.625,-1,-1
2021-09-15 10:06,8.625,8.55,8.725,8.55,-1,-1
2021-09-15 10:07,8.55,8.55,8.675,8.65,-1,-1
2021-09-15 10:08,8.65,8.525,8.725,8.6,-1,-1
2021-09-15 10:09,8.6,8.6,8.775,8.725,-1,-1
2021-09-15 10:10,8.725,8.725,8.825,8.775,-1,-1
2021-09-15 10:11,8.775,8.55,8.775,8.55,-1,-1
2021-09-15 10:12,8.55,8.275,8.575,8.325,-1,-1
2021-09-15 10:13,8.325,8.2,8.375,8.375,-1,-1
2021-09-15 10:14,8.375,8.225,8.425,8.275,-1,-1
2021-09-15 10:15,8.275,8.225,8.325,8.325,-1,-1
2021-09-15 10:16,8.325,8.275,8.35,8.325,-1,-1
2021-09-15 10:17,8.325,8.275,8.35,8.325,-1,-1
2021-09-15 10:18,8.325,8.225,8.325,8.25,-1,-1
2021-09-15 10:19,8.25,8.15,8.275,8.25,-1,-1
2021-09-15 10:20,8.25,8.2,8.4,8.375,-1,-1
2021-09-15 10:21,8.375,8.325,8.45,8.325,-1,-1
2021-09-15 10:22,8.325,8.275,8.325,8.325,-1,-1
2021-09-15 10:23,8.325,8.25,8.35,8.25,-1,-1
2021-09-15 10:24,8.25,8.2,8.275,8.225,-1,-1
2021-09-15 10:25,8.225,8.225,8.425,8.375,-1,-1
2021-09-15 10:26,8.375,8.3,8.475,8.325,-1,-1
2021-09-15 10:27,8.325,8.3,8.375,8.325,-1,-1
2021-09-15 10:28,8.325,8.225,8.375,8.25,-1,-1
2021-09-15 10:29,8.25,8.05,8.25,8.175,-1,-1
2021-09-15 10:30,8.175,8.1,8.275,8.25,-1,-1
2021-09-15 10:31,8.25,8.2,8.325,8.225,-1,-1
2021-09-15 10:32,8.225,8.1,8.25,8.125,-1,-1
2021-09-15 10:33,8.125,7.95,8.125,8.025,-1,-1
2021-09-15 10:34,8.025,8.025,8.2,8.175,-1,-1
2021-09-15 10:35,8.175,8.175,8.35,8.325,-1,-1
2021-09-15 10:36,8.325,8.225,8.325,8.325,-1,-1
2021-09-15 10:37,8.325,8.3,8.425,8.4,-1,-1
2021-09-15 10:38,8.4,8.4,8.5,8.475,-1,-1
2021-09-15 10:39,8.475,8.375,8.5,8.425,-1,-1
2021-09-15 10:40,8.425,8.325,8.425,8.325,-1,-1
2021-09-15 10:41,8.325,8.325,8.475,8.475,-1,-1
2021-09-15 10:42,8.475,8.25,8.475,8.3,-1,-1
2021-09-15 10:43,8.3,8.175,8.35,8.225,-1,-1
2021-09-15 10:44,8.225,8.225,8.325,8.3,-1,-1
2021-09-15 10:45,8.3,8.3,8.475,8.425,-1,-1
2021-09-15 10:46,8.425,8.325,8.475,8.475,-1,-1
2021-09-15 10:47,8.475,8.425,8.5,8.475,-1,-1
2021-09-15 10:48,8.475,8.45,8.575,8.55,-1,-1
2021-09-15 10:49,8.55,8.475,8.55,8.475,-1,-1
2021-09-15 10:50,8.475,8.475,8.55,8.5,-1,-1
2021-09-15 10:51,8.5,8.425,8.525,8.475,-1,-1
2021-09-15 10:52,8.475,8.475,8.525,8.475,-1,-1
2021-09-15 10:53,8.475,8.475,8.575,8.525,-1,-1
2021-09-15 10:54,8.525,8.425,8.55,8.425,-1,-1
2021-09-15 10:55,8.425,8.4,8.475,8.475,-1,-1
2021-09-15 10:56,8.475,8.45,8.575,8.525,-1,-1
2021-09-15 10:57,8.525,8.475,8.675,8.675,-1,-1
2021-09-15 10:58,8.675,8.6,8.675,8.625,-1,-1
2021-09-15 10:59,8.625,8.625,8.675,8.675,-1,-1
2021-09-15 11:00,8.675,8.575,8.7,8.675,-1,-1
2021-09-15 11:01,8.675,8.525,8.675,8.625,-1,-1
2021-09-15 11:02,8.625,8.575,8.675,8.65,-1,-1
2021-09-15 11:03,8.65,8.65,8.725,8.7,-1,-1
2021-09-15 11:04,8.7,8.675,8.775,8.775,-1,-1
2021-09-15 11:05,8.775,8.7,8.775,8.75,-1,-1
2021-09-15 11:06,8.75,8.725,8.8,8.725,-1,-1
2021-09-15 11:07,8.725,8.675,8.725,8.725,-1,-1
2021-09-15 11:08,8.725,8.725,8.8,8.8,-1,-1
2021-09-15 11:09,8.8,8.725,8.825,8.725,-1,-1
2021-09-15 11:10,8.725,8.7,8.775,8.7,-1,-1
2021-09-15 11:11,8.7,8.625,8.725,8.625,-1,-1
2021-09-15 11:12,8.625,8.625,8.725,8.675,-1,-1
2021-09-15 11:13,8.675,8.6,8.7,8.625,-1,-1
2021-09-15 11:14,8.625,8.575,8.65,8.575,-1,-1
2021-09-15 11:15,8.575,8.475,8.6,8.5,-1,-1
2021-09-15 11:16,8.5,8.5,8.6,8.5,-1,-1
2021-09-15 11:17,8.5,8.375,8.5,8.45,-1,-1
2021-09-15 11:18,8.45,8.425,8.525,8.45,-1,-1
2021-09-15 11:19,8.45,8.425,8.5,8.5,-1,-1
2021-09-15 11:20,8.5,8.45,8.575,8.55,-1,-1
2021-09-15 11:21,8.55,8.525,8.675,8.625,-1,-1
2021-09-15 11:22,8.625,8.575,8.625,8.575,-1,-1
2021-09-15 11:23,8.575,8.525,8.6,8.6,-1,-1
2021-09-15 11:24,8.6,8.575,8.625,8.625,-1,-1
2021-09-15 11:25,8.625,8.55,8.65,8.65,-1,-1
2021-09-15 11:26,8.65,8.65,8.725,8.7,-1,-1
2021-09-15 11:27,8.7,8.675,8.75,8.7,-1,-1
2021-09-15 11:28,8.7,8.575,8.7,8.6,-1,-1
2021-09-15 11:29,8.6,8.475,8.6,8.5,-1,-1
2021-09-15 11:30,8.5,8.3,8.5,8.3,-1,-1
2021-09-15 11:31,8.3,8.275,8.4,8.325,-1,-1
2021-09-15 11:32,8.325,8.325,8.4,8.4,-1,-1
2021-09-15 11:33,8.4,8.375,8.45,8.45,-1,-1
2021-09-15 11:34,8.45,8.425,8.5,8.5,-1,-1
2021-09-15 11:35,8.5,8.475,8.5,8.475,-1,-1
2021-09-15 11:36,8.475,8.4,8.475,8.4,-1,-1
2021-09-15 11:37,8.4,8.375,8.5,8.475,-1,-1
2021-09-15 11:38,8.475,8.45,8.5,8.5,-1,-1
2021-09-15 11:39,8.5,8.425,8.5,8.475,-1,-1
2021-09-15 11:40,8.475,8.45,8.5,8.5,-1,-1
2021-09-15 11:41,8.5,8.45,8.5,8.45,-1,-1
2021-09-15 11:42,8.45,8.45,8.55,8.55,-1,-1
2021-09-15 11:43,8.55,8.5,8.6,8.5,-1,-1
2021-09-15 11:44,8.5,8.5,8.55,8.55,-1,-1
2021-09-15 11:45,8.55,8.4,8.55,8.4,-1,-1
2021-09-15 11:46,8.4,8.4,8.45,8.4,-1,-1
2021-09-15 11:47,8.4,8.375,8.45,8.4,-1,-1
2021-09-15 11:48,8.4,8.35,8.45,8.4,-1,-1
2021-09-15 11:49,8.4,8.35,8.45,8.4,-1,-1
2021-09-15 11:50,8.4,8.4,8.45,8.425,-1,-1
2021-09-15 11:51,8.425,8.3,8.45,8.35,-1,-1
2021-09-15 11:52,8.35,8.35,8.4,8.4,-1,-1
2021-09-15 11:53,8.4,8.35,8.4,8.4,-1,-1
2021-09-15 11:54,8.4,8.375,8.4,8.375,-1,-1
2021-09-15 11:55,8.375,8.35,8.5,8.5,-1,-1
2021-09-15 11:56,8.5,8.5,8.6,8.6,-1,-1
2021-09-15 11:57,8.6,8.6,8.65,8.65,-1,-1
2021-09-15 11:58,8.65,8.65,8.75,8.75,-1,-1
2021-09-15 11:59,8.75,8.7,8.75,8.7,-1,-1
2021-09-15 12:00,8.7,8.65,8.7,8.65,-1,-1
2021-09-15 12:01,8.65,8.6,8.7,8.6,-1,-1
2021-09-15 12:02,8.6,8.6,8.75,8.75,-1,-1
2021-09-15 12:03,8.75,8.675,8.75,8.7,-1,-1
2021-09-15 12:04,8.7,8.7,8.75,8.75,-1,-1
2021-09-15 12:05,8.75,8.65,8.75,8.65,-1,-1
2021-09-15 12:06,8.65,8.65,8.675,8.65,-1,-1
2021-09-15 12:07,8.65,8.65,8.75,8.725,-1,-1
2021-09-15 12:08,8.725,8.7,8.75,8.725,-1,-1
2021-09-15 12:09,8.725,8.7,8.75,8.7,-1,-1
2021-09-15 12:10,8.7,8.7,8.75,8.75,-1,-1
2021-09-15 12:11,8.75,8.7,8.75,8.725,-1,-1
2021-09-15 12:12,8.725,8.65,8.75,8.65,-1,-1
2021-09-15 12:13,8.65,8.6,8.65,8.6,-1,-1
2021-09-15 12:14,8.6,8.55,8.625,8.55,-1,-1
2021-09-15 12:15,8.55,8.55,8.625,8.625,-1,-1
2021-09-15 12:16,8.625,8.6,8.65,8.6,-1,-1
2021-09-15 12:17,8.6,8.6,8.65,8.625,-1,-1
2021-09-15 12:18,8.625,8.6,8.65,8.65,-1,-1
2021-09-15 12:19,8.65,8.625,8.65,8.625,-1,-1
2021-09-15 12:20,8.625,8.55,8.65,8.625,-1,-1
2021-09-15 12:21,8.625,8.55,8.65,8.6,-1,-1
2021-09-15 12:22,8.6,8.6,8.65,8.65,-1,-1
2021-09-15 12:23,8.65,8.65,8.65,8.65,-1,-1
2021-09-15 12:24,8.65,8.65,8.7,8.7,-1,-1
2021-09-15 12:25,8.7,8.7,8.85,8.85,-1,-1
2021-09-15 12:26,8.85,8.8,8.9,8.9,-1,-1
2021-09-15 12:27,8.9,8.9,8.95,8.95,-1,-1
2021-09-15 12:28,8.95,8.85,8.95,8.9,-1,-1
2021-09-15 12:29,8.9,8.9,8.95,8.95,-1,-1
2021-09-15 12:30,8.95,8.95,9.05,9.05,-1,-1
2021-09-15 12:31,9.05,8.95,9.05,8.95,-1,-1
2021-09-15 12:32,8.95,8.925,9,9,-1,-1
2021-09-15 12:33,9,9,9.05,9.05,-1,-1
2021-09-15 12:34,9.05,9.05,9.175,9.175,-1,-1
2021-09-15 12:35,9.175,9.1,9.175,9.1,-1,-1
2021-09-15 12:36,9.1,9.1,9.275,9.275,-1,-1
2021-09-15 12:37,9.275,9.2,9.275,9.225,-1,-1
2021-09-15 12:38,9.225,9.225,9.325,9.3,-1,-1
2021-09-15 12:39,9.3,9.3,9.4,9.4,-1,-1
2021-09-15 12:40,9.4,9.4,9.5,9.475,-1,-1
2021-09-15 12:41,9.475,9.425,9.5,9.425,-1,-1
2021-09-15 12:42,9.425,9.35,9.425,9.4,-1,-1
2021-09-15 12:43,9.4,9.3,9.4,9.325,-1,-1
2021-09-15 12:44,9.325,9.275,9.55,9.3,-1,-1
2021-09-15 12:45,9.3,9.25,9.525,9.275,-1,-1
2021-09-15 12:46,9.275,9.275,9.4,9.4,-1,-1
2021-09-15 12:47,9.4,9.3,9.4,9.325,-1,-1
2021-09-15 12:48,9.325,9.3,9.45,9.45,-1,-1
2021-09-15 12:49,9.45,9.4,9.45,9.45,-1,-1
2021-09-15 12:50,9.45,9.45,9.475,9.45,-1,-1
2021-09-15 12:51,9.45,9.4,9.45,9.4,-1,-1
2021-09-15 12:52,9.4,9.4,9.425,9.4,-1,-1
2021-09-15 12:53,9.4,9.3,9.4,9.3,-1,-1
2021-09-15 12:54,9.3,9.3,9.35,9.35,-1,-1
2021-09-15 12:55,9.35,9.35,9.45,9.4,-1,-1
2021-09-15 12:56,9.4,9.35,9.475,9.45,-1,-1
2021-09-15 12:57,9.45,9.35,9.45,9.425,-1,-1
2021-09-15 12:58,9.425,9.4,9.45,9.4,-1,-1
2021-09-15 12:59,9.4,9.4,9.45,9.4,-1,-1
2021-09-15 13:00,9.4,9.4,9.425,9.4,-1,-1
2021-09-15 13:01,9.4,9.325,9.4,9.35,-1,-1
2021-09-15 13:02,9.35,9.35,9.375,9.35,-1,-1
2021-09-15 13:03,9.35,9.35,9.525,9.525,-1,-1
2021-09-15 13:04,9.525,9.45,9.55,9.55,-1,-1
2021-09-15 13:05,9.55,9.5,9.55,9.5,-1,-1
2021-09-15 13:06,9.5,9.475,9.55,9.475,-1,-1
2021-09-15 13:07,9.475,9.4,9.475,9.4,-1,-1
2021-09-15 13:08,9.4,9.35,9.425,9.4,-1,-1
2021-09-15 13:09,9.4,9.275,9.4,9.3,-1,-1
2021-09-15 13:10,9.3,9.3,9.4,9.35,-1,-1
2021-09-15 13:11,9.35,9.3,9.35,9.35,-1,-1
2021-09-15 13:12,9.35,9.35,9.4,9.4,-1,-1
2021-09-15 13:13,9.4,9.3,9.4,9.325,-1,-1
2021-09-15 13:14,9.325,9.25,9.325,9.25,-1,-1
2021-09-15 13:15,9.25,9.25,9.35,9.3,-1,-1
2021-09-15 13:16,9.3,9.25,9.3,9.275,-1,-1
2021-09-15 13:17,9.275,9.25,9.3,9.3,-1,-1
2021-09-15 13:18,9.3,9.3,9.35,9.35,-1,-1
2021-09-15 13:19,9.35,9.35,9.4,9.4,-1,-1
2021-09-15 13:20,9.4,9.4,9.45,9.45,-1,-1
2021-09-15 13:21,9.45,9.4,9.5,9.5,-1,-1
2021-09-15 13:22,9.5,9.45,9.5,9.45,-1,-1
2021-09-15 13:23,9.45,9.45,9.5,9.45,-1,-1
2021-09-15 13:24,9.45,9.4,9.45,9.4,-1,-1
2021-09-15 13:25,9.4,9.4,9.45,9.45,-1,-1
2021-09-15 13:26,9.45,9.4,9.45,9.45,-1,-1
2021-09-15 13:27,9.45,9.45,9.5,9.45,-1,-1
2021-09-15 13:28,9.45,9.4,9.5,9.5,-1,-1
2021-09-15 13:29,9.5,9.5,9.6,9.55,-1,-1
2021-09-15 13:30,9.55,9.55,9.6,9.575,-1,-1
2021-09-15 13:31,9.575,9.575,9.7,9.675,-1,-1
2021-09-15 13:32,9.675,9.575,9.675,9.6,-1,-1
2021-09-15 13:33,9.6,9.6,9.6,9.6,-1,-1
2021-09-15 13:34,9.6,9.6,9.65,9.65,-1,-1
2021-09-15 13:35,9.65,9.6,9.65,9.6,-1,-1
2021-09-15 13:36,9.6,9.525,9.6,9.55,-1,-1
2021-09-15 13:37,9.55,9.5,9.575,9.5,-1,-1
2021-09-15 13:38,9.5,9.5,9.55,9.55,-1,-1
2021-09-15 13:39,9.55,9.5,9.55,9.55,-1,-1
2021-09-15 13:40,9.55,9.5,9.55,9.55,-1,-1
2021-09-15 13:41,9.55,9.525,9.6,9.55,-1,-1
2021-09-15 13:42,9.55,9.55,9.6,9.6,-1,-1
2021-09-15 13:43,9.6,9.575,9.65,9.6,-1,-1
2021-09-15 13:44,9.6,9.6,9.6,9.6,-1,-1
2021-09-15 13:45,9.6,9.6,9.7,9.7,-1,-1
2021-09-15 13:46,9.7,9.7,9.775,9.75,-1,-1
2021-09-15 13:47,9.75,9.75,9.775,9.75,-1,-1
2021-09-15 13:48,9.75,9.75,9.85,9.85,-1,-1
2021-09-15 13:49,9.85,9.75,9.85,9.75,-1,-1
2021-09-15 13:50,9.75,9.7,9.75,9.7,-1,-1
2021-09-15 13:51,9.7,9.7,9.75,9.7,-1,-1
2021-09-15 13:52,9.7,9.7,9.8,9.75,-1,-1
2021-09-15 13:53,9.75,9.725,9.8,9.725,-1,-1
2021-09-15 13:54,9.725,9.7,9.75,9.75,-1,-1
2021-09-15 13:55,9.75,9.65,9.75,9.65,-1,-1
2021-09-15 13:56,9.65,9.6,9.65,9.6,-1,-1
2021-09-15 13:57,9.6,9.6,9.7,9.65,-1,-1
2021-09-15 13:58,9.65,9.6,9.65,9.6,-1,-1
2021-09-15 13:59,9.6,9.5,9.6,9.5,-1,-1
2021-09-15 14:00,9.5,9.475,9.55,9.55,-1,-1
2021-09-15 14:01,9.55,9.45,9.55,9.45,-1,-1
2021-09-15 14:02,9.45,9.45,9.55,9.525,-1,-1
2021-09-15 14:03,9.525,9.45,9.525,9.5,-1,-1
2021-09-15 14:04,9.5,9.475,9.55,9.55,-1,-1
2021-09-15 14:05,9.55,9.475,9.55,9.55,-1,-1
2021-09-15 14:06,9.55,9.55,9.65,9.625,-1,-1
2021-09-15 14:07,9.625,9.6,9.65,9.6,-1,-1
2021-09-15 14:08,9.6,9.55,9.625,9.55,-1,-1
2021-09-15 14:09,9.55,9.55,9.65,9.65,-1,-1
2021-09-15 14:10,9.65,9.65,9.7,9.7,-1,-1
2021-09-15 14:11,9.7,9.65,9.725,9.7,-1,-1
2021-09-15 14:12,9.7,9.6,9.7,9.6,-1,-1
2021-09-15 14:13,9.6,9.55,9.6,9.575,-1,-1
2021-09-15 14:14,9.575,9.55,9.6,9.55,-1,-1
2021-09-15 14:15,9.55,9.55,9.65,9.6,-1,-1
2021-09-15 14:16,9.6,9.55,9.6,9.55,-1,-1
2021-09-15 14:17,9.55,9.55,9.65,9.6,-1,-1
2021-09-15 14:18,9.6,9.5,9.6,9.55,-1,-1
2021-09-15 14:19,9.55,9.5,9.55,9.5,-1,-1
2021-09-15 14:20,9.5,9.45,9.55,9.55,-1,-1
2021-09-15 14:21,9.55,9.5,9.55,9.55,-1,-1
2021-09-15 14:22,9.55,9.5,9.6,9.6,-1,-1
2021-09-15 14:23,9.6,9.6,9.625,9.6,-1,-1
2021-09-15 14:24,9.6,9.575,9.6,9.6,-1,-1
2021-09-15 14:25,9.6,9.6,9.7,9.625,-1,-1
2021-09-15 14:26,9.625,9.6,9.7,9.65,-1,-1
2021-09-15 14:27,9.65,9.65,9.7,9.7,-1,-1
2021-09-15 14:28,9.7,9.65,9.7,9.65,-1,-1
2021-09-15 14:29,9.65,9.65,9.65,9.65,-1,-1
2021-09-15 14:30,9.65,9.6,9.7,9.65,-1,-1
2021-09-15 14:31,9.65,9.6,9.675,9.65,-1,-1
2021-09-15 14:32,9.65,9.6,9.65,9.65,-1,-1
2021-09-15 14:33,9.65,9.6,9.65,9.65,-1,-1
2021-09-15 14:34,9.65,9.6,9.65,9.625,-1,-1
2021-09-15 14:35,9.625,9.6,9.7,9.65,-1,-1
2021-09-15 14:36,9.65,9.65,9.725,9.7,-1,-1
2021-09-15 14:37,9.7,9.65,9.75,9.75,-1,-1
2021-09-15 14:38,9.75,9.7,9.75,9.7,-1,-1
2021-09-15 14:39,9.7,9.65,9.7,9.65,-1,-1
2021-09-15 14:40,9.65,9.65,9.775,9.75,-1,-1
2021-09-15 14:41,9.75,9.7,9.75,9.7,-1,-1
2021-09-15 14:42,9.7,9.7,9.75,9.75,-1,-1
2021-09-15 14:43,9.75,9.65,9.75,9.65,-1,-1
2021-09-15 14:44,9.65,9.65,9.7,9.7,-1,-1
2021-09-15 14:45,9.7,9.65,9.7,9.7,-1,-1
2021-09-15 14:46,9.7,9.7,9.75,9.75,-1,-1
2021-09-15 14:47,9.75,9.75,9.8,9.8,-1,-1
2021-09-15 14:48,9.8,9.75,9.825,9.8,-1,-1
2021-09-15 14:49,9.8,9.8,9.875,9.85,-1,-1
